SELECT 
     COUNT(*),
     a.id,
     a.email,
     a.password,
     aB.name
FROM Account a JOIN AddressBook aB ON a.id = aB.accountId 
GROUP BY aB.accountId
ORDER BY COUNT(*) DESC;

mysql> SELECT 
    ->      COUNT(*),
    ->      a.id,
    ->      a.email,
    ->      a.password,
    ->      aB.name
    -> FROM Account a JOIN AddressBook aB ON a.id = aB.accountId 
    -> GROUP BY aB.accountId
    -> ORDER BY COUNT(*) DESC;
+----------+-----+-------------------------------------------------------+-------------+--------------------------------------+
| COUNT(*) | id  | email                                                 | password    | name                                 |
|       11 |  28 | lobortis@hendreritaarcu.edu                           | ZQC19TEI2NQ | Mauris Associates                    |
|       11 |  85 | lacinia@sapien.co.uk                                  | BIT02RZI4QJ | Magna Phasellus Incorporated         |
|       11 |  38 | facilisis.non@vulputateullamcorpermagna.ca            | FKI62AOV3OZ | Odio Auctor Vitae Limited            |
|       11 |  11 | aliquet.vel@orci.org                                  | HLF34ATH3LC | Sit Amet Dapibus Institute           |
|       11 |  93 | Duis.ac.arcu@ascelerisque.co.uk                       | NBB12JMT4OP | Vitae Posuere At Company             |
|       10 |  46 | magna.Sed.eu@duiSuspendisseac.edu                     | KZE80SSV9XW | Nec Leo Morbi Foundation             |
|       10 |   6 | nulla.vulputate@Nullamscelerisque.co.uk               | FIA60YIT5YI | Varius Corp.                         |
|       10 |  45 | in@purusDuiselementum.co.uk                           | OVB80BUR2DR | Amet Risus Donec Corp.               |
|       10 |  47 | non.arcu.Vivamus@mollisvitae.ca                       | NDF08WQM1YB | Et Company                           |
|       10 |  69 | dapibus.quam@interdumligulaeu.ca                      | EIW32VON7TZ | Sem Industries                       |
|       10 |  36 | ante@nulla.edu                                        | JIQ02QKA6BD | Sapien Cursus Associates             |
|       10 |  35 | non.justo.Proin@variuset.edu                          | KIG34WTF7PP | Venenatis Lacus Consulting           |
|       10 |  33 | dui@felisorciadipiscing.ca                            | AOE03AMB3PT | Nunc Quis Arcu Incorporated          |
|       10 |   1 | Donec.vitae@Phasellusornare.org                       | LUW56VCP9SK | Fringilla Ornare LLC                 |
|        9 |  94 | velit.eget.laoreet@placerat.net                       | MIB94DAD1WH | Ullamcorper Company                  |
|        9 |  57 | amet@nisiaodio.com                                    | XFL52UZU6JK | Congue A Aliquet Inc.                |
|        9 |  92 | ipsum.non@Nullaeu.net                                 | MVM63WHZ9LE | Mollis Corporation                   |
|        9 |  81 | ut@Integersemelit.org                                 | IDT43CMF8TQ | Purus Mauris Industries              |
|        9 |  10 | quam.dignissim.pharetra@sed.co.uk                     | LCF77ZRN6CK | Non Sollicitudin Corp.               |
|        9 |  43 | vestibulum.massa.rutrum@nonummy.org                   | ZTQ54YOB2XJ | Dolor Fusce Corp.                    |
|        9 |  24 | ipsum.dolor@nisia.co.uk                               | YYZ42SAW2ZL | Sed Id Institute                     |
|        9 |  84 | aptent@nequesedsem.edu                                | FJI67WVI4ZC | Lorem Foundation                     |
|        9 |  34 | Morbi.neque@erat.org                                  | NDZ74GBO0WB | Ut Nec Urna PC                       |
|        9 |  80 | Aliquam.adipiscing.lobortis@lobortisnisinibh.org      | RJJ78IJI8MH | Donec Consectetuer LLP               |
|        9 |  18 | ultricies.adipiscing@cursusluctusipsum.co.uk          | ZWF29BWE4JD | Rutrum Lorem Corp.                   |
|        9 |  32 | felis.purus@acliberonec.org                           | DTF56MKT8KL | Elit Curabitur Sed Institute         |
|        9 |  70 | Cum.sociis@laoreet.co.uk                              | VHU41KFV3RH | Magna A LLP                          |
|        9 |  67 | orci@sit.co.uk                                        | FDK96BLN6XE | Sed Inc.                             |
|        8 |  19 | diam.luctus.lobortis@ipsumac.ca                       | WLH72UYE4MJ | Vestibulum Mauris Ltd                |
|        8 |  37 | Donec.vitae@Integertincidunt.com                      | TAQ13LGF9XK | Eleifend Nunc Risus Institute        |
|        8 |  21 | vitae.diam.Proin@pellentesqueeget.co.uk               | PHM36NJD1TT | Viverra Donec Tempus LLC             |
|        8 |  53 | inceptos@dictummagna.org                              | IVR25QIV1CO | Neque Company                        |
|        8 |   4 | Quisque@Donec.net                                     | QWZ62HQU1MH | Penatibus Et Magnis Incorporated     |
|        8 |  30 | pede@turpisIncondimentum.edu                          | PRZ05USG5GO | Aliquet Metus Urna PC                |
|        7 |   3 | ipsum.Donec@tellus.ca                                 | WZE25PPL3KA | Donec Incorporated                   |
|        7 |  99 | fringilla@posuereat.net                               | FUA04MSX4CM | Cum Sociis Foundation                |
|        7 |  55 | mattis.Cras.eget@Etiamgravidamolestie.ca              | EII40BHX5FQ | Et Limited                           |
|        7 |  15 | vulputate@temporerat.org                              | KFD17PWJ8PZ | Mauris Aliquam Eu Foundation         |
|        7 |  22 | eu.metus@atlibero.co.uk                               | LLL21RPU2NE | Eget Lacus Associates                |
|        7 |  89 | commodo@tincidunt.co.uk                               | FUD20VFX9GT | Egestas Aliquam Industries           |
|        7 |  39 | sed.consequat.auctor@necquamCurabitur.net             | XUT06OCU5EG | Enim Mi Tempor Inc.                  |
|        7 |  40 | amet.ultricies.sem@turpisIn.ca                        | YUT11SED3BK | At Sem Industries                    |
|        6 |  17 | leo.Cras.vehicula@quis.co.uk                          | WVA57BYV8RF | Mi Eleifend Ltd                      |
|        6 |  96 | fermentum.convallis@ridiculusmusAenean.edu            | NCD25RTP4ZI | Egestas Urna Justo Foundation        |
|        6 |  27 | lorem@sit.ca                                          | DZM21VOL4AV | Neque Company                        |
|        6 |  72 | mauris.id@tellusidnunc.net                            | TTS78NKD2EX | Id Ltd                               |
|        5 |  86 | nec.ligula@sedtortorInteger.com                       | VUY00XLF1GQ | Quisque Associates                   |
|        3 |  52 | vel.convallis.in@semmolestie.co.uk                    | DPU08WIH3XA | Integer In Corporation               |
+----------+-----+-------------------------------------------------------+-------------+--------------------------------------+
100 rows in set (0.01 sec)

     
